metadata_qid,question,metadata_question,metadata_gold_answer
7415,"{'question': ""who sang i wonder why he 's the greatest dancer"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: He\'s the Greatest Dancer: ""He\'s the Greatest Dancer"" is a 1979 song by the American vocal group Sister Sledge. Released on February 3, 1979, the song was written and composed by Bernard Edwards and Nile Rodgers, and recorded for the group\'s successful 1979 album We Are Family.\nQuestion: who sang i wonder why he \'s the greatest dancer\nAre follow up questions needed here: No.\nSo the final answer is: Sister Sledge'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Sister Sledge'}]], 'traces_entailments': None}",who sang i wonder why he 's the greatest dancer,['American vocal group Sister Sledge']
7633,"{'question': 'when does season 4 jane the virgin come out', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: October 13, 2017: The fourth season of Jane the Virgin originally aired in the United States on The CW from October 13, 2017, through April 20, 2018.\nQuestion: when does season 4 jane the virgin come out\nAre follow up questions needed here: No.\nSo the final answer is: October 13, 2017'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'October 13, 2017'}]], 'traces_entailments': None}",when does season 4 jane the virgin come out,"['October 13 , 2017']"
7406,"{'question': 'halo wars 2 when does it take place', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: 2559: Halo Wars 2 takes place in the science fiction universe of the Halo series. The game is set in 2559, 28 years after the events of Halo Wars and shortly after the events of Halo 5: Guardians.\nQuestion: halo wars 2 when does it take place\nAre follow up questions needed here: No.\nSo the final answer is: 2559'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '2559'}]], 'traces_entailments': None}",halo wars 2 when does it take place,['in 2559']
8324,"{'question': 'which club has won most uefa champions league titles', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: List of European Cup and UEFA Champions League finals: A total of 23 clubs have won the Champions League/European Cup. Real Madrid hold the record for the most victories, having won the competition fourteen\nQuestion: which club has won most uefa champions league titles\nAre follow up questions needed here: No.\nSo the final answer is: Real Madrid'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Real Madrid'}]], 'traces_entailments': None}",which club has won most uefa champions league titles,['Real Madrid']
3114,"{'question': 'when was the first toyota land cruiser made', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Toyota Land Cruiser: Production of the first generation of the Land Cruiser began in 1951.\nQuestion: when was the first toyota land cruiser made\nAre follow up questions needed here: No.\nSo the final answer is: 1951'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1951'}]], 'traces_entailments': None}",when was the first toyota land cruiser made,['1951']
3028,"{'question': 'what award did leonardo dicaprio won for the revenant', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: the Academy Award for Best Actor: Leonardo DiCaprio's performance was widely acclaimed and ultimately won him the Academy Award for Best Actor, the first of his career after five previous nominations.\nQuestion: what award did leonardo dicaprio won for the revenant\nAre follow up questions needed here: No.\nSo the final answer is: Academy Award for Best Actor""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Academy Award for Best Actor'}]], 'traces_entailments': None}",what award did leonardo dicaprio won for the revenant,"['BAFTA Award', 'Golden Globe Award', 'Academy Award for Best Actor']"
8391,"{'question': 'who was the first elected president of poland', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: President of Poland: In Poland's first direct presidential election, Lech Wałęsa won and was sworn in on 22 December 1990.\nQuestion: who was the first elected president of poland\nAre follow up questions needed here: No.\nSo the final answer is: Lech Wałęsa""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Lech Wałęsa'}]], 'traces_entailments': None}",who was the first elected president of poland,['Gabriel Narutowicz']
7798,"{'question': 'where does the last name singh come from', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Singh: Singh (IPA: /ˈsɪŋ/) is a title, middle name or surname that means ""lion"" in various South Asian and Southeast Asian communities.\nQuestion: where does the last name singh come from\nAre follow up questions needed here: No.\nSo the final answer is: Sanskrit'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Sanskrit'}]], 'traces_entailments': None}",where does the last name singh come from,['India']
3053,"{'question': 'who is the best golfer in the world', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: List of world number one male golfers: [{'unknown': '1', 'country': 'West Germany', 'player': 'Bernhard Langer', 'start_date': 'April 6, 1986', 'end_date': 'April 26, 1986', 'number_of_w': '3'}, {'unknown': '2', 'country': 'Spain', 'player': 'Seve Ballesteros', 'start_date': 'April 27, 1986', 'end_date': 'September 13, 1986', 'number_of_w': '20'}, {'unknown': '3', 'country': 'Australia', 'player': 'Greg Norman', 'start_date': 'September 14, 1986', 'end_date': 'November 21, 1987', 'number_of_w': '62'}]\nQuestion: who is the best golfer in the world\nAre follow up questions needed here: No.\nSo the final answer is: Greg Norman""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Greg Norman'}]], 'traces_entailments': None}",who is the best golfer in the world,['Dustin Johnson']
1544,"{'question': 'who won dancing with the stars 2017 cast', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Dancing with the Stars (American season 25): On November 21, 2017, actor and singer Jordan Fisher and Lindsay Arnold were crowned the champions, while violinist Lindsey Stirling and Mark Ballas finished in second place, and actor Frankie Muniz and Witney Carson finished in third.\nQuestion: who won dancing with the stars 2017 cast\nAre follow up questions needed here: No.\nSo the final answer is: Jordan Fisher and Lindsay Arnold'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Jordan Fisher and Lindsay Arnold'}]], 'traces_entailments': None}",who won dancing with the stars 2017 cast,['Jordan Fisher']
